ID;ENLACE PERMANENTE;NOMBRE USUARIO;@;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO;
1,20E+18;,https://twitter.com/DanielElPinta/status/1199166705550934017;,DanielElPinta;,None;,2019-11-26 03:23:16+00:00;0,1;0,3;,;,#fiavl2019 #loja #ecuador #fiavl #smile #instagood #life #likeforlike #happy #instalike #followme #follow #instafollow #likeme #instamood #photooftheday #like4like #likelike #photo #photograph #comunication #urban #colors;,;,b'Mi recuento de #fiavl2019 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 ##loja #ecuador #fiavl #smile #instagood #life #likeforlike #happy #instalike #followme #follow #instafollow #likeme #instamood #photooftheday #like4like #likelike #photo #photograph #comunication #urban #colors';
;;;;;;;;;;;
1,20E+18;,https://twitter.com/marchelomendiet/status/1199146549512568833;,marchelomendiet;,None;,2019-11-26 02:03:11+00:00;0;0,1;,;,#body #bodypaint #africa #artist #artista #artistic #mimejormomentofiavl2019 #fiavl #loja;,;,b'6ta. Ciudad Desnuda Expo Body Art Tema: \xc3\x81frica Modelo: dolorescastillo8708 Artista: Gabriela Granda Rojas . . . . . . #body #bodypaint #africa #artist #artista #artistic #mimejormomentofiavl2019 #fiavl #loja\xe2\x80\xa6 https://www.instagram.com/p/B5T6ks7gb5j/?igshid=ol6h2j5n3kzl';
;;;;;;;;;;;
1,20E+18;,https://twitter.com/jorgepaguay/status/1199066899583242240;,jorgepaguay;,None;,2019-11-25 20:46:41+00:00;0;0;,;,;,;,b'Los indicadores culturales del Fiavl se conocer\xc3\xa1n en diciembre https://ift.tt/2qJw7eN';
;;;;;;;;;;;
1,20E+18;,https://twitter.com/cce_moronastgo/status/1199022837631201281;,cce_moronastgo;,None;,2019-11-25 17:51:35+00:00;0,3;0,1;,;,#FestivalLojaM #Yampuna;,;",""b'Los talentosos artistas del Laboratorio Teatral D2, fueron nuestros embajadores de las artes vivas en la IV edici\xc3\xb3n del #FestivalLojaM\xc3\xa1sTuyoQueNunca, con #Yampuna, una tierna historia sobre un cazador de aves que vive en la Amazon\xc3\xada. Fuente: Archivo MCYP / FIAVL 2019.'""";
;;;;;;;;;;;
1,20E+18;,https://twitter.com/veronicaariasf/status/1198966484980113410;,veronicaariasf;,SandoyaC;,2019-11-25 14:07:40+00:00;0;0,2;,@AsambleaEcuador;,;,;",""b'Quiero precisar que no es resoluci\xc3\xb3n de la Asamblea, sino LEY de institucionalizaci\xc3\xb3n del FIAVL que present\xc3\xa9 y que se aprob\xc3\xb3 de manera un\xc3\xa1nime en la @AsambleaEcuador'""";
;;;;;;;;;;;
1,20E+18;,https://twitter.com/Mayli35706832/status/1198812930520862724;,Mayli35706832;,None;,2019-11-25 03:57:30+00:00;0;0,1;,;,#FIAVL #Cristina;,;,b'Hoy finaliz\xc3\xb3 el Festival Internacional de Artes Vivas Loja 2019 (#FIAVL). Donde las personas pudieron mostrar y como tambien observar las habilidades que pose\xc3\xadan. #Cristina';
;;;;;;;;;;;
1,20E+18;,https://twitter.com/_SophieCuevaM/status/1198801679971487746;,_SophieCuevaM;,None;,2019-11-25 03:12:47+00:00;0;0,2;,@juanfervelasco;,#Loja;,;",""b'#Loja tuvo 10 d\xc3\xadas de arte, cultura,color y sonrisas.. hoy termin\xc3\xb3 el FIAVL y @juanfervelasco se merece un gran aplauso! (La gente va a criticar siempre porque si y porque no lo que importa es la felicidad que nos regalaron)'""";
;;;;;;;;;;;
1,20E+18;,https://twitter.com/Maurici01123127/status/1198797151104430081;,Maurici01123127;,None;,2019-11-25 02:54:48+00:00;0;0;,;,;,;,b'Con noche de luces se cierra est\xc3\xa1 edici\xc3\xb3n del FIAVL';
;;;;;;;;;;;
1,20E+18;,https://twitter.com/Maurici01123127/status/1198797149288439809;,Maurici01123127;,None;,2019-11-25 02:54:47+00:00;0;0;,;,;,;,b'FIAVL 2019 es todo un derroche de talento.';
;;;;;;;;;;;
1,20E+18;,https://twitter.com/FestivalDeLoja/status/1198772033821257728;,FestivalDeLoja;,None;,2019-11-25 01:14:59+00:00;0,1;0,5;,;,#FestivalLojaM;,;",""b'Patricio Vallejo Aristiz\xc3\xa1bal, director del FIAVL: """"este es un evento que se teje minuto a minuto, durante todos los d\xc3\xadas para crear este hermoso Festival"""". #FestivalLojaM\xc3\xa1sTuyoQueNunca'""";
;;;;;;;;;;;
1,20E+18;,https://twitter.com/Nodalcultura/status/1198631246043189248;,Nodalcultura;,None;,2019-11-24 15:55:33+00:00;0,8;0,15;,@FestivalDeLoja @VallejoPato;,#Ecuador #ElFiavlM;,;",""b'#Ecuador Hoy es el \xc3\xbaltimo d\xc3\xada del @FestivalDeLoja En esta cr\xc3\xb3nica intentamos explicar porque, como sugiri\xc3\xb3 @VallejoPato """"el FIAVL est\xc3\xa1 en camino de convertirse en una nueva leyenda en una ciudad de leyendas"""" http://www.nodalcultura.am/2019/11/fiavl2019-del-andar-por-la-calle-bolivar-el-lugar-donde-late-el-festival-de-artes-vivas/ #ElFiavlM\xc3\xa1sTuyoQueNunca'""";
;;;;;;;;;;;
